id,year,occup1,woj,nace,technical,math,artistic,computer,cognitive,managerial,interpersonal,individual,physical,availability,office,total_skills
646257,2014,7,02,F,1,0,0,0,0,0,1,1,1,0,0,4
610008,2014,3,04,K,0,0,0,1,0,0,1,0,0,0,0,2
601388,2014,7,14,C,0,0,0,0,0,1,1,1,0,0,1,4
623312,2014,5,30,M,0,0,1,0,0,0,1,1,0,0,0,3
623338,2014,5,10,M,0,0,1,0,0,0,1,1,0,0,0,3
624248,2014,5,14,M,0,0,1,0,0,0,1,1,0,0,0,3
623172,2014,1,14,C,0,0,0,1,1,0,1,0,0,0,0,3
604301,2014,5,28,C,0,0,1,1,0,0,0,1,0,1,0,4
613165,2014,5,22,C,0,0,1,1,0,0,0,1,0,1,0,4
619292,2014,5,14,C,0,0,1,1,0,0,0,1,0,1,0,4
628108,2014,5,22,C,0,0,1,1,0,0,0,1,0,1,0,4
638074,2014,5,32,C,0,0,1,1,0,0,0,1,0,1,0,4
642105,2014,2,26,M,0,0,0,0,1,0,0,1,0,1,0,3
646224,2014,2,22,C,0,0,0,0,0,0,0,0,0,0,0,0
646225,2014,2,22,C,0,0,0,0,0,0,0,0,0,0,0,0
606040,2014,5,28,J,0,0,0,1,0,0,0,0,0,0,0,1
615237,2014,8,14,H,0,0,0,0,0,1,0,1,0,0,0,2
629205,2014,7,24,C,0,0,0,0,0,0,0,0,0,0,0,0
622270,2014,2,30,N,0,0,0,0,0,0,1,1,0,0,0,2
609188,2014,2,10,J,0,0,0,1,0,0,0,0,0,0,0,1
636225,2014,7,14,H,0,0,0,0,0,1,0,1,0,0,0,2
626342,2014,5,30,M,0,0,0,0,0,0,0,1,0,0,0,1
602295,2014,3,32,C,0,0,0,0,0,0,0,1,1,0,0,2
602283,2014,2,18,C,1,0,0,0,0,0,0,0,0,0,0,1
642030,2014,2,24,C,0,0,0,1,1,0,1,1,0,0,0,4
643408,2014,2,12,C,0,0,0,0,0,0,0,0,0,0,0,0
640191,2014,3,30,J,0,0,0,0,0,0,1,1,0,0,0,2
619224,2014,3,24,C,0,0,0,1,1,0,1,1,0,0,0,4
619257,2014,3,10,C,0,0,0,0,1,0,1,1,0,0,0,3
612039,2014,2,12,C,0,0,0,0,1,0,1,1,0,0,0,3
625425,2014,3,22,C,0,0,0,0,0,0,0,1,0,0,0,1
639132,2014,3,08,J,0,0,0,0,0,0,1,1,0,0,0,2
640031,2014,2,24,C,0,0,0,1,1,0,1,1,0,0,0,4
646002,2014,2,12,J,0,0,0,1,1,0,1,1,0,0,0,4
646109,2014,2,14,C,0,0,0,0,0,0,0,0,0,0,0,0
632106,2014,3,02,C,0,0,0,0,1,1,1,1,0,0,0,4
637176,2014,5,12,R,0,0,0,0,1,0,0,1,0,0,0,2
640195,2014,4,30,C,0,0,0,1,0,0,0,0,0,0,0,1
611074,2014,3,26,C,0,0,0,1,0,0,0,0,0,0,0,1
615006,2014,5,12,M,0,0,0,1,0,0,0,0,0,0,0,1
647087,2014,1,14,F,0,0,0,1,0,0,1,0,0,0,0,2
605271,2014,2,30,C,0,0,0,0,0,0,0,0,0,0,0,0
645017,2014,2,22,K,0,0,0,0,0,0,0,0,0,0,0,0
609311,2014,2,02,G,0,0,0,0,0,0,1,1,0,0,0,2
619237,2014,4,24,J,0,0,0,0,1,0,1,0,0,1,0,3
624200,2014,4,24,C,0,0,0,0,1,0,1,0,0,1,0,3
604283,2014,2,24,C,0,0,0,0,0,0,1,1,0,1,0,3
619218,2014,2,24,C,0,0,0,0,0,0,1,1,0,1,0,3
625301,2014,2,24,M,0,0,0,0,0,0,1,1,0,1,0,3
614229,2014,1,14,C,0,0,0,1,1,0,0,0,0,0,0,2
645129,2014,2,30,J,0,0,1,1,1,0,0,1,0,0,0,4
610112,2014,1,30,M,0,0,0,1,0,1,1,1,0,0,0,4
606360,2014,2,02,C,0,0,0,1,0,1,1,0,0,0,0,3
634286,2014,2,02,C,0,0,0,1,1,1,1,0,0,0,0,4
613100,2014,2,12,J,0,0,0,1,0,0,0,0,0,0,0,1
646011,2014,2,12,J,0,0,0,1,0,0,0,0,0,0,0,1
644217,2014,2,10,C,0,0,0,0,1,0,0,1,0,1,0,3
604385,2014,2,02,C,0,0,0,1,0,0,0,1,0,0,0,2
633022,2014,3,14,D,0,0,0,0,0,0,1,1,1,0,0,3
626276,2014,2,02,C,0,0,1,0,0,0,1,1,0,0,0,3
610303,2014,2,22,C,0,0,0,1,1,1,0,1,0,0,0,4
610304,2014,4,22,C,0,0,0,1,1,1,0,1,0,0,0,4
639184,2014,2,22,G,0,0,0,1,1,1,0,1,0,0,0,4
639187,2014,2,22,G,0,0,0,1,1,1,0,1,0,0,0,4
607253,2014,8,22,N,0,0,0,0,0,0,0,0,0,0,0,0
637299,2014,1,06,F,0,0,1,1,0,1,1,1,0,1,0,6
637300,2014,1,06,F,0,0,1,1,0,1,1,1,0,1,0,6
637301,2014,1,06,F,0,0,1,1,0,1,1,1,0,1,0,6
623381,2014,7,14,C,0,0,1,0,0,0,1,1,1,0,1,5
605267,2014,7,30,C,0,0,0,0,1,0,0,0,0,0,0,1
628002,2014,3,02,H,0,0,0,0,0,0,1,0,0,0,0,1
619232,2014,3,24,C,0,0,0,0,0,0,1,0,0,1,0,2
609258,2014,3,14,H,0,0,0,1,0,0,0,0,0,0,0,1
637291,2014,1,12,I,0,0,0,1,0,0,0,1,0,1,0,3
624009,2014,1,02,R,0,0,0,1,0,0,0,0,0,1,0,2
616220,2014,1,12,R,0,0,0,1,0,0,0,1,0,1,0,3
620352,2014,5,02,K,0,0,0,1,0,0,1,1,0,0,0,3
629112,2014,5,02,C,0,0,0,1,0,0,1,1,0,0,0,3
638208,2014,1,02,C,0,0,0,0,1,1,1,1,0,0,0,4
642288,2014,1,24,F,0,0,0,0,0,0,0,0,0,0,0,0
627109,2014,3,30,K,0,0,0,0,1,1,1,1,0,0,0,4
607245,2014,3,22,H,0,0,1,1,0,1,1,1,0,0,0,5
603182,2014,3,12,H,0,0,0,0,0,0,0,1,0,0,0,1
607305,2014,3,12,C,0,0,0,0,0,0,0,1,0,0,0,1
609281,2014,3,14,H,0,0,0,0,0,1,1,1,0,0,0,3
602350,2014,3,24,H,0,0,0,0,0,0,0,1,0,0,0,1
609360,2014,3,08,C,0,0,0,1,0,0,0,0,0,0,0,1
608091,2014,1,20,G,0,0,1,0,1,1,1,1,0,1,0,6
607369,2014,2,02,N,0,0,0,0,0,0,0,0,0,0,0,0
622180,2014,3,26,H,0,0,0,0,1,1,1,1,0,0,0,4
601070,2014,2,02,E,0,0,0,1,1,0,1,0,0,0,0,3
609234,2014,2,02,C,0,0,0,1,1,0,1,0,0,0,0,3
632149,2014,2,14,P,0,0,0,0,1,1,1,1,0,1,0,5
637212,2014,2,22,G,0,0,0,0,1,1,1,1,0,1,0,5
607073,2014,2,22,G,0,0,0,0,1,1,1,1,0,1,0,5
618220,2014,2,30,P,0,0,0,0,1,1,1,1,0,1,0,5
637228,2014,2,24,P,0,0,0,0,1,1,1,1,0,1,0,5
641223,2014,2,22,K,0,0,1,0,0,1,1,1,0,0,0,4
641225,2014,2,22,K,0,0,1,0,0,1,1,1,0,0,0,4
604064,2014,2,08,K,0,0,1,0,0,0,1,1,0,0,0,3
605136,2014,2,32,K,0,0,1,0,0,0,1,1,0,0,0,3
643231,2014,2,20,C,0,0,1,0,0,0,1,1,0,0,0,3
609065,2014,2,18,K,0,0,1,0,0,0,1,1,0,0,0,3
642133,2014,2,26,K,0,0,1,0,0,0,1,1,0,0,0,3
642210,2014,2,08,K,0,0,1,0,0,0,1,1,0,0,0,3
608106,2014,2,20,K,0,0,1,0,0,0,1,1,0,0,0,3
607111,2014,3,22,K,0,0,0,1,0,1,1,1,0,0,0,4
608090,2014,3,20,N,0,0,0,1,0,1,1,1,0,0,0,4
608095,2014,3,20,N,0,0,0,1,0,1,1,1,0,0,0,4
608102,2014,3,20,N,0,0,0,1,0,1,1,1,0,0,0,4
609114,2014,3,12,C,0,0,1,1,0,0,1,1,0,0,0,4
634092,2014,3,12,C,0,0,1,1,0,0,1,1,0,0,0,4
644149,2014,3,04,H,0,0,1,1,0,1,1,1,0,0,0,5
632103,2014,5,24,C,1,0,0,0,0,1,1,0,0,0,1,4
605172,2014,3,04,C,0,0,0,0,0,0,1,0,0,1,0,2
610205,2014,2,02,M,0,0,0,1,1,1,0,1,0,1,0,5
631176,2014,2,30,G,0,0,0,1,1,1,0,1,0,1,0,5
631179,2014,2,32,G,0,0,0,1,1,1,0,1,0,1,0,5
641185,2014,2,22,G,0,0,0,1,1,1,0,1,0,1,0,5
613143,2014,2,02,G,0,0,0,1,1,1,0,1,0,1,0,5
613147,2014,2,06,G,0,0,0,1,1,1,0,1,0,1,0,5
613153,2014,2,22,G,0,0,0,1,1,1,0,1,0,1,0,5
636118,2014,2,06,G,0,0,0,1,1,1,0,1,0,1,0,5
608107,2014,3,20,C,0,0,0,0,0,1,1,1,0,0,0,3
617144,2014,2,14,J,0,0,0,0,1,1,0,0,0,0,0,2
609103,2014,2,12,J,0,0,0,1,0,1,1,1,0,1,0,5
611049,2014,2,12,J,0,0,0,1,0,1,1,1,0,1,0,5
637262,2014,2,12,M,0,0,0,1,0,1,1,1,0,1,0,5
640296,2014,1,30,K,0,0,0,1,0,0,1,1,0,0,0,3
640297,2014,1,30,K,0,0,0,1,0,0,1,1,0,0,0,3
640298,2014,1,30,K,0,0,0,1,0,0,1,1,0,0,0,3
607094,2014,2,22,C,0,0,0,1,0,0,1,1,0,1,0,4
609088,2014,2,12,C,0,0,0,1,0,1,1,1,0,1,0,5
632070,2014,3,24,D,0,0,0,1,0,1,1,0,0,0,0,3
616151,2014,3,12,F,0,0,0,1,1,0,1,0,0,0,0,3
641244,2014,3,12,G,0,0,0,1,1,0,1,0,0,0,0,3
630012,2014,3,20,C,0,0,0,0,0,1,1,1,0,0,0,3
606290,2014,2,22,G,1,0,0,0,0,0,1,0,0,0,0,2
603153,2014,2,12,N,0,0,0,0,0,0,1,0,0,0,0,1
605314,2014,2,22,C,0,0,0,0,0,0,1,0,0,0,0,1
633102,2014,2,14,G,0,0,0,0,0,0,1,0,0,0,0,1
617305,2014,5,12,G,0,0,0,0,0,0,1,1,0,0,0,2
617306,2014,5,12,G,0,0,0,0,0,0,1,1,0,0,0,2
617307,2014,5,18,G,0,0,0,0,0,0,1,1,0,0,0,2
617308,2014,5,12,G,0,0,0,0,0,0,1,1,0,0,0,2
617309,2014,5,18,G,0,0,0,0,0,0,1,1,0,0,0,2
618028,2014,2,22,K,0,0,0,0,0,1,1,0,0,0,0,2
618029,2014,2,22,K,0,0,0,0,0,1,1,0,0,0,0,2
618030,2014,2,22,K,0,0,0,0,0,1,1,0,0,0,0,2
618031,2014,2,22,K,0,0,0,0,0,1,1,0,0,0,0,2
618032,2014,2,22,K,0,0,0,0,0,1,1,0,0,0,0,2
618033,2014,2,22,K,0,0,0,0,0,1,1,0,0,0,0,2
618034,2014,2,22,K,0,0,0,0,0,1,1,0,0,0,0,2
620045,2014,2,18,C,0,0,0,0,0,1,1,1,0,1,0,4
620046,2014,2,18,C,0,0,0,0,0,1,1,1,0,1,0,4
620047,2014,2,18,C,0,0,0,0,0,1,1,1,0,1,0,4
620048,2014,2,18,C,0,0,0,0,0,1,1,1,0,1,0,4
620049,2014,2,18,C,0,0,0,0,0,1,1,1,0,1,0,4
620050,2014,2,18,C,0,0,0,0,0,1,1,1,0,1,0,4
630296,2014,5,12,C,0,0,0,0,1,0,1,1,0,0,0,3
646195,2014,2,10,K,0,0,0,0,0,1,1,1,0,0,0,3
646196,2014,2,10,K,0,0,0,0,0,1,1,1,0,0,0,3
646197,2014,2,10,K,0,0,0,0,0,1,1,1,0,0,0,3
646198,2014,2,10,K,0,0,0,0,0,1,1,1,0,0,0,3
646199,2014,2,10,K,0,0,0,0,0,1,1,1,0,0,0,3
646200,2014,2,10,K,0,0,0,0,0,1,1,1,0,0,0,3
610136,2014,1,02,C,0,0,1,0,0,0,1,0,0,1,0,3
610160,2014,1,02,C,0,0,1,0,0,0,1,0,0,1,0,3
611017,2014,2,14,J,0,0,0,0,0,0,0,1,0,0,0,1
643230,2014,1,20,C,0,0,1,0,1,1,1,1,0,0,0,5
